hispanic,citizen,black,exp,wage,female,education
1,1,0,11.0,1.25,0,11
1,0,0,12.74,6.5104167,0,7
1,0,0,10.74,4.25,0,7
1,0,0,14.74,7.6923077,0,7
1,0,0,10.0,4.8076923,0,9
1,0,0,14.7,9.1346154,0,14
1,0,0,13.74,10.416667,0,7
1,0,0,13.74,14.583333,0,7
1,0,0,14.0,12.019231,0,16
1,0,0,11.74,5.2884615,0,7
1,0,0,15.0,18.75,0,9
1,0,0,13.0,8.6538462,0,18
1,0,0,12.74,8.4134615,0,7
1,0,0,11.74,6.5384615,0,7
0,1,1,11.47,15.224359,0,11
1,1,0,12.0,5.7692308,0,11
1,1,0,14.7,7.2115385,0,13
1,0,0,12.9,3.75,0,3
0,1,0,15.0,14.102564,0,16
1,0,0,12.0,12.980769,0,12
1,1,0,13.74,6.1538462,0,7
1,1,1,12.0,5.375,0,12
0,0,0,12.7,2.79125,0,13
1,1,0,12.0,10.096154,0,12
1,0,0,11.74,5.2884615,0,7
1,1,0,14.7,4.3269231,0,13
0,1,0,11.7,17.094017,0,13
1,0,0,13.0,10.576923,0,12
1,0,0,10.74,7.4519231,0,7
0,1,0,15.0,11.245192,0,16
1,0,0,10.0,11.057692,0,12
0,1,0,11.7,4.6153846,0,13
0,1,0,15.0,11.538462,0,12
0,1,0,13.7,16.346154,0,14
0,0,0,11.0,2.5641026,0,12
0,0,0,11.0,17.884615,0,18
0,1,0,13.7,19.089912,0,13
0,1,1,11.0,18.181818,0,12
1,1,0,11.7,14.423077,0,14
1,1,0,13.0,4.2,0,10
0,0,0,13.0,6.4903846,0,18
0,1,1,12.7,11.666667,0,13
0,1,1,10.7,25.527604,0,13
0,1,0,12.7,24.444444,0,14
0,1,1,11.7,19.230769,0,13
1,0,0,13.74,7.0,0,7
0,1,0,13.0,10.016026,0,16
0,1,0,15.0,16.826923,0,16
0,0,0,10.7,19.230769,0,13
1,1,0,11.0,21.634615,0,18
0,1,0,10.0,20.744712,0,16
0,0,0,11.7,9.6153846,0,13
0,1,0,11.0,24.038462,0,18
0,1,0,15.0,16.203704,0,16
0,1,0,13.0,16.25,0,16
0,1,0,15.0,4.7058824,0,16
0,1,0,13.7,12.339592,0,13
0,1,0,13.0,19.230769,0,12
1,1,0,11.47,17.094017,0,11
0,1,0,14.7,9.6,0,13
0,1,0,15.0,19.063287,0,16
0,1,0,11.0,22.435897,0,16
0,1,0,11.0,4.6474359,0,12
0,1,0,14.0,16.346154,0,12
0,1,0,14.47,16.025641,0,11
0,1,0,13.0,18.2,0,16
1,0,0,11.47,5.7692308,0,11
1,0,0,12.0,4.5454545,0,14
0,1,0,12.7,20.408163,0,13
0,1,0,12.0,20.0,0,12
0,1,1,12.0,11.6,0,16
0,1,0,11.0,10.43956,0,16
0,1,0,11.7,14.583333,0,13
