personid,age,tenure,grosswage,children,bedroom,commute,men,married,volunteer,high_educ,WFHShare,calls
20804,26.0,38.0,3.2056422,no,no,40.0,0.0,0.0,1.0,1.0,0.9949495,542.0
20994,24.0,38.0,3.9896567,no,yes,180.0,1.0,0.0,1.0,1.0,0.59090906,491.0
21014,24.0,25.0,3.7158668,no,yes,30.0,0.0,0.0,0.0,1.0,,
21060,24.0,38.0,3.2551234,no,yes,20.0,0.0,0.0,1.0,1.0,0.42424244,567.0
21068,25.0,38.0,3.7650187,no,yes,60.0,0.0,0.0,0.0,1.0,,
21126,25.0,38.0,2.4348133,no,yes,120.0,0.0,0.0,0.0,1.0,,
21138,25.0,38.0,2.763249,no,yes,120.0,1.0,0.0,1.0,0.0,0.1010101,280.0
21142,25.0,38.0,3.663141,no,yes,130.0,0.0,1.0,0.0,1.0,,
21286,25.0,37.0,2.6855145,no,no,30.0,1.0,0.0,1.0,0.0,0.24747474,672.0
21312,24.0,25.0,3.2305489,no,no,40.0,0.0,0.0,0.0,1.0,,
21454,22.0,37.0,3.5118167,no,no,120.0,1.0,0.0,0.0,1.0,,
21472,24.0,37.0,2.5875034,no,yes,70.0,0.0,0.0,0.0,1.0,,
21474,25.0,37.0,2.7566977,no,yes,100.0,1.0,0.0,0.0,0.0,,
21478,27.0,37.0,3.4119534,no,no,130.0,1.0,0.0,0.0,0.0,,
21492,27.0,37.0,3.2355423,no,no,40.0,0.0,0.0,1.0,1.0,0.4090909,417.0
21592,22.0,37.0,3.5140011,no,no,30.0,0.0,0.0,0.0,0.0,,
21604,24.0,37.0,3.0380278,no,yes,200.0,0.0,0.0,1.0,0.0,0.6212121,500.0
21610,20.0,37.0,3.487799,no,yes,140.0,1.0,0.0,1.0,0.0,0.959596,580.0
21614,25.0,37.0,2.9098122,no,yes,110.0,0.0,0.0,0.0,1.0,,
21622,25.0,37.0,3.349172,no,yes,30.0,0.0,1.0,0.0,0.0,,
21648,26.0,37.0,2.6443167,yes,yes,75.0,1.0,1.0,1.0,1.0,0.6010101,457.0
21654,29.0,37.0,4.1014285,no,yes,80.0,0.0,0.0,1.0,1.0,0.82323235,564.0
21670,28.0,25.0,3.2536354,no,yes,90.0,0.0,0.0,1.0,1.0,0.3838384,246.0
21696,25.0,37.0,4.988572,no,yes,60.0,0.0,0.0,1.0,0.0,0.959596,708.0
21704,23.0,37.0,3.079479,no,no,50.0,0.0,0.0,0.0,1.0,,
21710,30.0,37.0,2.61698,no,yes,90.0,1.0,1.0,1.0,1.0,0.74747473,550.0
21746,21.0,37.0,2.8369355,no,yes,90.0,0.0,0.0,0.0,0.0,,
21990,26.0,36.0,2.62348,no,yes,60.0,1.0,0.0,1.0,0.0,0.23232323,345.0
21996,26.0,36.0,3.2235112,no,no,120.0,0.0,0.0,0.0,0.0,,
22022,22.0,36.0,3.4560156,no,yes,120.0,0.0,0.0,1.0,0.0,0.9191919,745.0
22080,24.0,36.0,3.571901,no,no,60.0,0.0,0.0,0.0,1.0,,
22082,22.0,36.0,3.5133724,no,no,60.0,0.0,0.0,0.0,1.0,,
22130,25.0,36.0,2.5165932,no,yes,80.0,0.0,0.0,0.0,1.0,,
22132,25.0,36.0,4.4988065,no,yes,20.0,0.0,0.0,1.0,1.0,0.93939394,495.0
22136,21.0,36.0,3.0249944,no,yes,40.0,0.0,0.0,1.0,0.0,0.34343433,23.0
22140,25.0,36.0,3.8671577,no,yes,40.0,0.0,1.0,0.0,1.0,,
22190,22.0,36.0,3.3493822,no,no,60.0,0.0,0.0,0.0,0.0,,
22218,21.0,36.0,3.4206634,no,yes,30.0,0.0,0.0,1.0,0.0,0.68686867,708.0
22230,20.0,36.0,3.1743488,no,no,30.0,0.0,0.0,0.0,0.0,,
22260,22.0,36.0,2.6297543,no,no,20.0,0.0,0.0,1.0,0.0,0.025252525,759.0
22266,21.0,36.0,3.9789944,no,no,60.0,0.0,0.0,1.0,0.0,0.07070707,131.0
22284,21.0,36.0,3.4786634,yes,yes,45.0,0.0,1.0,1.0,0.0,0.36868685,412.0
22290,26.0,36.0,2.72949,yes,yes,80.0,1.0,1.0,0.0,0.0,,
22318,22.0,36.0,3.1374056,no,no,50.0,0.0,0.0,0.0,0.0,,
22324,21.0,36.0,3.5810654,no,no,60.0,0.0,0.0,1.0,0.0,0.54545456,515.0
22336,21.0,36.0,4.0701566,no,no,25.0,0.0,0.0,0.0,0.0,,
22340,20.0,36.0,2.880732,no,no,45.0,0.0,0.0,0.0,0.0,,
22426,22.0,36.0,3.026101,no,yes,50.0,0.0,0.0,1.0,0.0,0.5050505,391.0
22428,21.0,36.0,2.5083845,no,no,60.0,0.0,0.0,0.0,1.0,,
22456,21.0,36.0,3.5803354,no,yes,60.0,0.0,0.0,0.0,0.0,,
22500,21.0,36.0,3.397541,no,no,60.0,0.0,0.0,0.0,0.0,,
22706,26.0,36.0,3.260831,no,yes,60.0,0.0,1.0,0.0,1.0,,
22720,22.0,36.0,3.6249466,no,no,90.0,0.0,0.0,0.0,0.0,,
22864,21.0,35.0,2.561828,no,no,40.0,0.0,0.0,1.0,0.0,0.3181818,141.0
22878,27.0,35.0,2.5484579,no,yes,120.0,0.0,0.0,0.0,1.0,,
22888,28.0,35.0,2.702172,no,yes,180.0,1.0,0.0,0.0,0.0,,
23046,22.0,35.0,2.7214289,no,no,40.0,0.0,0.0,1.0,0.0,0.0959596,46.0
23050,21.0,35.0,3.1027713,no,no,40.0,0.0,0.0,0.0,0.0,,
23066,27.0,35.0,3.0804055,no,yes,90.0,0.0,1.0,0.0,0.0,,
23084,21.0,35.0,2.8742557,no,no,60.0,0.0,0.0,1.0,0.0,0.3131313,383.0
23088,20.0,35.0,3.7588732,no,no,30.0,0.0,0.0,1.0,0.0,0.53535354,249.0
23096,21.0,35.0,3.1757178,no,no,35.0,0.0,0.0,0.0,0.0,,
23126,23.0,35.0,4.2542796,no,yes,95.0,0.0,0.0,0.0,1.0,,
23136,22.0,35.0,3.1753633,no,yes,60.0,1.0,0.0,0.0,0.0,,
23150,23.0,35.0,3.4969122,no,no,40.0,0.0,0.0,0.0,1.0,,
23172,20.0,34.0,2.76301,no,no,45.0,0.0,0.0,0.0,0.0,,
23228,23.0,35.0,3.9816256,no,yes,40.0,0.0,1.0,1.0,1.0,0.20707071,122.0
